Up,100
Up,100
Up,100
Up,100
Down,100
Down,100
Down,200
Right,100
Right,100
Right,100
Right,3000
Left,100
Left,300
Left,300
Left,100
Left,100
Left,100
Left,100
Left,2000
Up,500
Down,6000
Right,100
Right,100
Right,100
Right,100
Up,100
Up,100
Up,100
Up,100
Down,100
Down,100
Down,100
Left,100
Left,100
Left,100
Left,3300
Right,100
Right,100
Right,400
Right,100
Right,100
Right,100
Right,100
Right,1000
Up,100
Up,100
Up,1000
Down,100
Down,300
Up,4000
Left,1000
Left,1000
Down,900
Left,100
Right,1000
Left,300
Left,1500
Left,100
Left,100
Left,100
Left,3000
Right,100
Right,100
Right,100
Right,100
Up,100
Up,100
Up,100
Up,100
Down,100
Down,100
Down,200
Left,100
Left,2500
Up,500
Down,600
Up,500
Down,500
Right,500
Left,700
Up,500
Right,300
Down,100
Right,100
Up,500
Down,2500
Right,800
Right,500
Right,800
Up,500
Down,100
Right,600
Left,100
Left,100
Left,100
Left,100
Left,500
Up,100
Left,100
Down,200
Left,500
Left,600
Right,100
Right,100
Right,100
Left,300
Left,300
Left,2500
Up,100
Up,500
Down,500
Up,1000
Down,700
Up,500
Down,800
Up,100
Down,500
Right,100
Right,100
Right,100
Right,100
Up,100
Up,100
Up,100
Up,100
